id,vars,asserts,status0,3,6,4,delta-sat
9,8,16,12,delta-sat
10,9,24,17,delta-sat
11,12,32,23,delta-sat
13,13,42,27,delta-sat
15,13,42,27,delta-sat
17,13,42,27,delta-sat
19,13,42,27,delta-sat
21,13,42,27,delta-sat
23,13,42,27,delta-sat
25,13,42,27,delta-sat
27,13,42,27,delta-sat
29,13,42,27,delta-sat
31,13,42,27,delta-sat
33,13,42,27,delta-sat
34,15,42,29,delta-sat
36,11,78,28,delta-sat
38,11,78,28,delta-sat
40,11,78,28,delta-sat
42,11,78,28,delta-sat
44,11,78,28,delta-sat
46,11,78,28,delta-sat
48,11,78,28,delta-sat
50,11,78,28,delta-sat
52,11,78,28,delta-sat
54,11,78,28,delta-sat
56,11,78,28,delta-sat
57,3,8,4,delta-sat
58,4,16,9,delta-sat
60,7,24,15,delta-sat
62,7,24,15,delta-sat
64,7,24,15,delta-sat
66,7,24,15,delta-sat
68,7,24,15,delta-sat
70,7,24,15,delta-sat
71,8,24,16,delta-sat
73,15,118,41,delta-sat
75,15,118,41,delta-sat
77,15,118,41,delta-sat
78,17,118,43,delta-sat
79,20,126,47,delta-sat
81,18,126,45,delta-sat
82,20,126,47,delta-sat
84,18,126,45,delta-sat
85,22,134,49,delta-sat
87,18,134,45,delta-sat
88,22,134,49,delta-sat
89,17,118,43,delta-sat
90,20,126,47,delta-sat
92,18,126,45,delta-sat
93,20,126,47,delta-sat
95,18,126,45,delta-sat
96,22,134,49,delta-sat
98,18,134,45,delta-sat
99,22,134,49,delta-sat
101,15,118,41,delta-sat
102,3,8,4,delta-sat
103,4,16,9,delta-sat
105,7,24,15,delta-sat
107,7,24,15,delta-sat
109,7,24,15,delta-sat
111,7,24,15,delta-sat
113,7,24,15,delta-sat
115,7,24,15,delta-sat
116,8,24,16,delta-sat
118,18,158,54,delta-sat
119,20,158,56,delta-sat
120,23,166,60,delta-sat
122,21,166,58,delta-sat
123,23,166,60,delta-sat
125,21,166,58,delta-sat
126,25,174,62,delta-sat
128,21,174,58,delta-sat
129,25,174,62,delta-sat
130,20,158,56,delta-sat
131,23,166,60,delta-sat
133,21,166,58,delta-sat
134,23,166,60,delta-sat
136,21,166,58,delta-sat
137,25,174,62,delta-sat
139,21,174,58,delta-sat
140,25,174,62,delta-sat
142,18,158,54,delta-sat
144,18,158,54,delta-sat
146,18,158,54,delta-sat
147,3,8,4,delta-sat
148,4,16,9,delta-sat
150,5,24,13,delta-sat
152,5,24,13,delta-sat
154,8,28,16,delta-sat
156,8,28,16,delta-sat
158,8,28,16,delta-sat
160,8,28,16,delta-sat
162,8,28,16,delta-sat
164,8,28,16,delta-sat
166,8,28,16,delta-sat
167,6,24,14,delta-sat
171,24,210,70,delta-sat
173,24,210,70,delta-sat
175,24,210,70,delta-sat
177,24,210,70,delta-sat
179,24,210,70,delta-sat
181,24,210,70,delta-sat
183,24,210,70,delta-sat
187,2,12,5,delta-sat
189,2,12,5,delta-sat
191,2,12,5,delta-sat
193,3,10,6,delta-sat
194,3,12,6,delta-sat
196,24,230,74,delta-sat
198,25,226,75,delta-sat
200,24,230,74,delta-sat
202,24,230,74,delta-sat
203,3,10,4,delta-sat
204,4,16,9,delta-sat
206,5,24,13,delta-sat
208,5,24,13,delta-sat
210,5,24,13,delta-sat
211,6,24,14,delta-sat
212,30,266,89,delta-sat
213,33,274,93,delta-sat
215,31,274,91,delta-sat
216,33,274,93,delta-sat
218,31,274,91,delta-sat
219,35,282,95,delta-sat
221,31,282,91,delta-sat
222,35,282,95,delta-sat
223,30,266,89,delta-sat
224,33,274,93,delta-sat
226,31,274,91,delta-sat
227,33,274,93,delta-sat
229,31,274,91,delta-sat
230,35,282,95,delta-sat
232,31,282,91,delta-sat
233,35,282,95,delta-sat
235,28,266,87,delta-sat
236,3,10,4,delta-sat
237,4,16,9,delta-sat
239,5,24,13,delta-sat
241,5,24,13,delta-sat
243,5,24,13,delta-sat
244,6,24,14,delta-sat
245,33,310,103,delta-sat
246,36,318,107,delta-sat
248,34,318,105,delta-sat
249,36,318,107,delta-sat
251,34,318,105,delta-sat
252,38,326,109,delta-sat
254,34,326,105,delta-sat
255,38,326,109,delta-sat
256,33,310,103,delta-sat
257,36,318,107,delta-sat
259,34,318,105,delta-sat
260,36,318,107,delta-sat
262,34,318,105,delta-sat
263,38,326,109,delta-sat
265,34,326,105,delta-sat
266,38,326,109,delta-sat
268,31,310,101,delta-sat
269,3,10,4,delta-sat
271,3,18,9,delta-sat
273,3,18,9,delta-sat
275,3,18,9,delta-sat
277,3,18,9,delta-sat
279,3,18,9,delta-sat
281,3,18,9,delta-sat
282,5,18,11,delta-sat
284,32,340,109,delta-sat
286,32,340,109,delta-sat
288,32,340,109,delta-sat
290,32,340,109,delta-sat
292,32,340,109,delta-sat
294,32,340,109,delta-sat
295,3,10,5,delta-sat
297,6,20,11,delta-sat
299,6,20,11,delta-sat
301,6,20,11,delta-sat
303,6,20,11,delta-sat
305,6,20,11,delta-sat
307,6,20,11,delta-sat
308,6,18,10,delta-sat
309,36,380,122,delta-sat
312,40,390,130,delta-sat
314,40,390,130,delta-sat
316,40,402,130,delta-sat
317,36,380,122,delta-sat
320,40,390,130,delta-sat
322,40,390,130,delta-sat
324,40,402,130,delta-sat
325,36,380,122,delta-sat
328,40,390,130,delta-sat
330,40,390,130,delta-sat
332,40,402,130,delta-sat
333,36,380,122,delta-sat
336,40,390,130,delta-sat
338,40,390,130,delta-sat
340,40,402,130,delta-sat
341,36,380,122,delta-sat
344,40,390,130,delta-sat
346,40,390,130,delta-sat
348,40,402,130,delta-sat
349,36,380,122,delta-sat
352,40,390,130,delta-sat
354,40,390,130,delta-sat
356,40,402,130,delta-sat
360,9,8,11,delta-sat
361,10,16,15,delta-sat
367,13,28,21,delta-sat
369,13,28,21,delta-sat
371,13,28,21,delta-sat
373,13,28,21,delta-sat
375,13,28,21,delta-sat
377,13,28,21,delta-sat
379,13,28,21,delta-sat
380,12,24,20,delta-sat
381,45,436,141,delta-sat
384,49,446,149,delta-sat
385,49,446,149,delta-sat
388,53,456,157,delta-sat
